val_loss,val_acc,epoch,step
0.29102644324302673,0.9107999801635742,0,859
0.22496116161346436,0.9308000206947327,1,1719
0.18811024725437164,0.9449999928474426,2,2579
0.16337616741657257,0.9526000022888184,3,3439
0.14719870686531067,0.9570000171661377,4,4299
